universidad,universidad_nombre,ccaa,tipo_fuente,codigo,nombre,acronimo,responsable,unidad,area,lineas,n_lineas,calidad_lineas,palabras_clave,descripcion,servicios,equipamiento,oferta_tecnologica,url,web,tipo_registro,extras,fichero_origen
UAL,Universidad de Almería,Andalucía,extraido,HUM145,Abdera,,"Lopez Medina, Maria Juana","Geografía, Historia y Humanidades",Humanidades,"Análisis Del Poblamiento En El Sur Peninsular Durante La Edad Media | Aplicación De Técnicas De Prospección No Invasivas A Yacimientos Arqueológicos | Aprovechamiento, Control Y Gestión Del Agua En El Sur Peninsular Desde La Prehistoria A La Edad Media | Arqueología Feminista | Dinámica Socioeconómica De Las Poblaciones Pre Y Protohistóricas Del Sur Peninsular | Estudio Y Conservación Del Patrimonio Histórico Y Arqueológico De Andalucía | Implantación Romana En El Sur Peninsular Y Su Transformación En El Mundo Medieval | Relación Sociedad-Medioambiente Desde La Prehistoria A La Edad Media",8,declaradas,Difusión Del Patrimonio Histórico | Investigación Del Patrimonio | Recuperación Del Patrimonio Histórico | Urbanismo Y Patrimonio,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/HUM/HUM145,http://cvirtual.ual.es/webual/jsp/investigacion/nuevo/pInicio.jsp?id_grupo=HUM145&idioma=es,grupo,"{""n_miembros"": ""14"", ""telefono"": ""950015300""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,FQM376,Advanced Nmr Methods And Metal-Based Catalysts,,"Fernandez De Las Nieves, Ignacio",Química y Física,"Física, química y matemáticas",Caracterización Estructural De Compuestos Orgánicos Y Organometálicos | Diseño Y Síntesis De Catalizadores Basados En Metales De Transición | Estudio De Intermedios Y Mecanismo De Reacción Mediante Rmn | Estudios Metabolomicos Mediante Rmn | Metodología De Rmn Aplicado A Estudios De Difusión Molecular | Resolución De Mezclas Complejas De Entorno Agroalimentario,6,declaradas,Difusion Molecular | Metabolomica | Rmn Multinuclear | Sintesis Organica Y Organometalica,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/FQM/FQM376,http://www.nmrmbc.com,grupo,"{""n_miembros"": ""15"", ""telefono"": ""950214465""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,RNM151,Agricultura Y Medio Ambiente En Zonas Aridas,,"Guzmán Palomino, José Miguel",Agronomía,Recursos naturales y medio ambiente,"Análisis Y Diagnóstico Nutricional En Vegetales | Desarrollo Urbano Sostenible | Fisiología, Y Tecnología De La Poscosecha De Productos Vegetales | Nutrición Vegetal Y Ferti-Riego En Sistemas De Cultivo Protegido | Optimización Y Gestión Integral Del Agua Y Los Fertilizantes (Fertirrigación) En Cultivos Hortícolas",5,declaradas,"Análisis Y Diagnóstico Nutricional | Edafología, Suelos, Análisis | Fertirriego | Nutrición Vegetal | Produccion Vegetal",,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/RNM/RNM151,,grupo,"{""n_miembros"": ""8"", ""telefono"": ""950015054""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,RNM934,Agronomía Y Medio Ambiente,,"Miralles Mellado, Isabel",Agronomía,Recursos naturales y medio ambiente,"Efectos De Los Incendios Forestales Y Restauración Post-Incendio De Ecosistemas En El Contexto Del Cambio Climático | Estudio De Comunidades Microbianas De Suelos (Bacterias Y Hongos) Y Su Potencial Biotecnológico Mediante Técnicas Moleculares De Ngs (Next-Generation Sequencing), Medidas De Actividades Enzimáticas Y Flujos De Co2 | Evaluación De Biofertilizantes Y Bioestimulantes Para Mejorar La Calidad Y Productividad De Cultivos Hortícolas Y Reducir El Uso De Fertilizantes Sintéticos Minerales | Restauración De Suelos Degradados Por Actividades Antrópicas Naturales O Humanas (Ej. Minería, Incendios, Agricultura) Para La Mejora De Propiedades Físicas, Químicas, Bioquímicas Y Microbiológicas | Restauración Mediante Residuos Reciclados De Suelos Calizos De Ambientes Áridos Y Semiáridos | Uso De Quemas Prescritas Como Medida De Gestión De Masas Forestales Para Evitar Incendios De Gran Intensidad | Análisis De Los Tratamientos De Restauración De Suelos En Parámetros De Calidad, Ciclos Biogeoquímicos Del Suelo Y Patrones De Emisión Y Fijación De Co2 | Manejo De Suelos Agrícolas Para Incrementar Su Salud, Calidad Y Mejora De Cosechas (Especialmente En Cultivos Intensivos Hortícolas De Invernaderos)",8,declaradas,,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/RNM/RNM934,www.edalab.es,grupo,"{""n_miembros"": ""7"", ""telefono"": ""950014068""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,HUM1114,"Alternativas Pedagógicas: Educación Democrática, Subjetividades Y Corporeidades",,"García Gómez, María Teresa",Educación,Humanidades,,0,vacias,,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/HUM/HUM1114,,grupo,"{""n_miembros"": ""8"", ""telefono"": ""950015361""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,HUM745,Analisis Clinico Y Experimental En Psicologia,,"Lopez Rios, Francisca",Psicología,Humanidades,"Analisis Epistemológico E Histórico De La Psicología Tipología Sistemática De La Conducta Personalidad, Trastornos De La Personalidad En La Vida Moderna Y Postmoderna Y Su Tratamiento | Psicología Clínica Psicología De La Salud Psicología Jurídica Psicoterapias Funcionales Psicoterapia De Aceptación Y Compromiso Maltrato Y Conducta Violenta Adicciones Relación De Equivalencias Análisis Epistemológico E Histórico De La Psicología. Tipología Sistemática De La Conducta Concepto Y Características De La Personalidad Como Conducta Específicamente Humana Y La Clasificación Y Tratamiento De Los Trastornos De La Personalidad En La Vida Moderna Y Postmoderna. La Diversidad De Las Psicoterapias En Relación Con La Diversidad De Sus Contextos Socio-Históricos",2,declaradas,"Área De Psicología Evolutiva Y De La Educación | Personalidad, Personalidad, Evaluación Y Tratamiento Psicológicos | Psicología | Psicología Conductual | Psicología De La Personalidad | Psicología Jurídica",,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/HUM/HUM745,,grupo,"{""n_miembros"": ""1"", ""telefono"": ""950-015206""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,FQM244,Analisis De Datos,,"Rodriguez Torreblanca, Carmelo",Matemáticas,"Física, química y matemáticas",Análisis Difuso De Datos | Análisis Y Diseño Óptimo De Experimentos | Distribuciones Sesgadas | Sistemas Expertos Probabilísticos | Teoría Y Técnica De Muestreo,5,declaradas,Análisis De Datos | Diseño De Experimentos | Modelos Graficos | Muestreo,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/FQM/FQM244,,grupo,"{""n_miembros"": ""17"", ""telefono"": ""950214549""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,HUM595,Analisis Experimental Y Aplicado Del Comportamiento,,"Molina Cobos, Francisco Javier",Psicología,Humanidades,"Líneas Aplicadas. Análisis De Af Y Rft A: 1. Análisis De Los Recuerdos Falsos, Toma De Perspectiva Y Alucinaciones, 2. Análisis De La Evitación Experiencial E Inflexibilidad Psicológica 3. Análisis De Componentes De La Terapia De La Aceptación Y Compromiso (Act) 4. Análisis De Protocolos Breves De Act En Ansiedad, Depresión, De La Personalidad, Adicciones, Conducta Alimentaria, Dolor Y Afrontamiento Cáncer Y Otros Problemas De Salud, En Hiperactividad. Programas De Lenguaje En Niños Con Dificultades Y En Toma De Perspectiva | Líneas Básicas: Análisis Funcional De Conducta (Af) Y Teoría Del Marco Relacional (Rft). Emergencia De Conductas Y Transformación De Funciones: 1. Formación De Eventos Privados Y En Regulación De La Conducta. 2. Análisis De La Coherencia Y Flexibilidad Relacional",2,declaradas,Trastornos En La Infancia Y Adolescencia,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/HUM/HUM595,,grupo,"{""n_miembros"": ""8"", ""telefono"": ""950015205""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,FQM194,Analisis Matematico,,"Navarro Pascual, Juan Carlos",Matemáticas,"Física, química y matemáticas",Álgebras De Banach Y Álgebras No Asociativas | Análisis Funcional No Lineal | Ecuaciones Diferenciales | Geometría De Espacios De Banach | Integración Finitamente Aditiva,5,declaradas,Algebras De Banach | Espacios De Banach | Métodos Variacionales | Punto Extremo | Sistemas De Loomis,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/FQM/FQM194,,grupo,"{""n_miembros"": ""12"", ""telefono"": ""950 015023""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,FQM374,Análisis Ambiental Y Tratamiento De Aguas,,"Agüera López, Ana",Química y Física,"Física, química y matemáticas","Análisis De Contaminantes Prioritarios, Emergentes Y Sus Metabolitos En Matrices Ambientales Mediante Espectrometría De Masas | Bioensayos Para Evaluación De Procesos De Descontaminación | Combinación De Tratamientos Avanzados (Químicos Y Biológicos) Para La Descontaminación Y Reutilización De Aguas | Identificación De Productos De Transformación De Contaminantes Orgánicos En El Medio Natural Y Durante Los Procesos De Tratamiento De Aguas Residuales",4,declaradas,Contaminantes | Doctorado En Ingeniería Química | Espectrometría De Masas,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/FQM/FQM374,http://www.ual.es/,grupo,"{""n_miembros"": ""14"", ""telefono"": ""950015531""}",UAL_groups.csv
