universidad,universidad_nombre,ccaa,tipo_fuente,codigo,nombre,acronimo,responsable,unidad,area,lineas,n_lineas,calidad_lineas,palabras_clave,descripcion,servicios,equipamiento,oferta_tecnologica,url,web,tipo_registro,extras,fichero_origen
UAH,Universidad de Alcalá,Madrid,extraido,Comunidades-de-aprendizaje-colaborativo-y-dialogico-para-transformar-la-practica,Comunidades de aprendizaje colaborativo y dialógico para transformar la práctica educativa. Collaborative and dialogical learning communities to transform educational practice.,,"García Campos, María Dolores; Canabal García, Cristina",https://www.researchgate.net/profile/Cristina_Canabal_Garcia,,Diseño Universal para el Aprendizaje (DUA) | Enseñanza dialógica | Indagación colaborativa | Pedagogía Relacional | Prácticas docentes reflexivas | Tecnologías de apoyo a los procesos de enseñanza-aprendizaje,6,declaradas,,"Investigar desde la práctica educativa, junto a los y las participantes, para profundizar en el conocimiento de los procesos de formación apoyándonos en el diálogo, la colaboración y la reflexión, de cara a desarrollar procesos de enseñanza- aprendizaje respetuosos y equitativos","Los resultados de los trabajos de investigación del grupo aportarán a los profesionales de la docencia, tanto en la etapa de formación inicial como continua, pertenecientes a todos los niveles educativos. Se ofrece el apoyo, acompañamiento y seguimiento de aquellos procesos de enseñanza aprendizaje cuyos equipos docentes consideren necesario llevar a cabo una transformación en su docencia","Junto a los recursos que la UAH ofrece para investigar(de acceso al material bibliográfico, aulas, equipos y programas informáticos) y a las unidades de apoyo, orientación y divulgación del conocimiento generado por la investigación, el grupo cuenta con la posibilidad de establecer convenios de investigación participativa con centros educativos interesados en trasformar procesos de enseñanza, pertenecientes tanto a las Consejerías de Educación de Madrid y de Castilla La Mancha",Apoyo en procesos de investigación hecha por el profesorado | Sin información de Propiedad Industrial e Intelectual,https://www.uah.es/es/investigacion/unidades-de-investigacion/grupos-de-investigacion/Comunidades-de-aprendizaje-colaborativo-y-dialogico-para-transformar-la-practica-educativa.-Collaborative-and-dialogical-learning-communities-to-transform-educational-practice./,,grupo,"{""categoria"": ""Grupo Emergente""}",UAH_groups.csv
UAH,Universidad de Alcalá,Madrid,extraido,Creacion-de-materiales-y-analisis-de-mercado-en-la-ensenanza-de-una-lengua-mater,Creación de materiales y análisis de mercado en la enseñanza de una lengua materna y de una lengua extranjera - Creation of educational materials and market analysis in the teaching of a mother language and a foreign language,,"Val Núñez, María Teresa del",https://www.uah.es/es/estudios/profesor/Maria-Teresa-del-Val-Nunez/,,Análisis de mercado y empresarial | Lingüística aplicada al léxico del español,2,declaradas,,"El desarrollo de cualquier investigación conlleva un avance en el conocimiento que pocas veces tiene una vinculación con la docencia. La investigación que quiere desarrollar este grupo tiene dos vertientes: 1) establecer los contextos precisos de definición léxica, seleccionar un corpus léxico operativo y útil y diseñar el método más eficaz para su enseñanza/aprendizaje y 2) analizar el mercado editorial y digital relacionado con el léxico, comprobar su utilidad económica e idear un sistema empresarial eficaz y productivo que permita alcanzar objetivos económicos relevantes. Tras la culminación de la investigación, podrán plantearse la creación de materiales didácticos, con editoriales de gran alcance internacional, que puedan servir de referencia en la comunidad científica dedicada a la Lingüística Aplicada, como ya se ha hecho en el pasado. Este tipo de investigación tiene una clara vocación de transferencia del conocimiento, porque detrás del léxico está el pensamiento (la forma de pensar) de una comunidad, por lo que enseñando léxico se muestra cómo es lo español. A su vez, la venta de estos materiales puede suponer una fuente de financiación de otros proyectos",,No se requiere ningún equipamiento especial. Con los ordenadores existentes basta,Educación Secundaria y universitaria de España y del mundo (que quiera aprender español) | Sin información de Propiedad Industrial e Intelectual,https://www.uah.es/es/investigacion/unidades-de-investigacion/grupos-de-investigacion/Creacion-de-materiales-y-analisis-de-mercado-en-la-ensenanza-de-una-lengua-materna-y-de-una-lengua-extranjera-Creation-of-educational-materials-and-market-analysis-in-the-teaching-of-a-mother-language-and-a-foreign-language/,,grupo,"{""categoria"": ""Grupo de Alto Rendimiento""}",UAH_groups.csv
UAH,Universidad de Alcalá,Madrid,extraido,Cuidado-comunitario-y-Determinantes-Sociales-de-la-salud-Community-care-and-Soci,Cuidado comunitario y Determinantes Sociales de la salud - Community care and Social Determinants of Health.,,"Mirón González, Rubén; Luengo Gonzalez, Raquel",Enfermería y Fisioterapia,,"Redes sociales, familia y cuidados de salud | Salud y condiciones de vida y trabajo | Hábitos de vida y salud positiva",3,declaradas,,"Promover y facilitar la investigación enfermera sobre los determinantes sociales de la salud y cómo estos condicionan los cuidados a la comunidad. Se incluye aquí el diseño de estudios, la revisión de publicaciones existentes, el análisis de los resultados de investigación y la difusión de los mismos. Serán objeto de estudio de este grupo procesos relacionados con los hábitos de vida, las redes sociales y comunitarias, así como las condiciones de vida y trabajo de la población","Análisis cualitativo, análisis bioestadístico, diseño de cuestionarios","EQUIPAMIENTO: Cuestionarios y escalas TÉCNICAS UTILIZADAS: Encuestas, mapeo. Técnicas de investigación cualitativa: Grupos de discusión, entrevista a informantes",Organizaciones comunitarias. Organizaciones políticas y de planificación sanitaria | Sin información de Propiedad Industrial e Intelectual,https://www.uah.es/es/investigacion/unidades-de-investigacion/grupos-de-investigacion/Cuidado-comunitario-y-Determinantes-Sociales-de-la-salud-Community-care-and-Social-Determinants-of-Health./,,grupo,"{""categoria"": ""Grupo de Alto Rendimiento""}",UAH_groups.csv
UAH,Universidad de Alcalá,Madrid,extraido,Cultura-politica-y-cultura-visual-en-la-Monarquia-de-Espana-practicas-y-represen,Cultura política y cultura visual en la Monarquía de España: prácticas y representaciones entre los siglos XVI y XVIII - The Political and Visual Cultures in the Hispanic Monarchy: practices and representations between the XVIth and XVIIIth Centuries.,,"Esteban Estríngana, Alicia",https://www.uah.es/es/estudios/profesor/Alicia-Esteban-Estringana/,,Coleccionismo artístico y legitimación nobiliaria en el tránsito del Antiguo al Nuevo Régimen | Comunidades políticas e identidades en confrontación | La platería hispana como reflejo de la cultura visual | Práctica dinástica y política territorial | Espacio habitado y cultura material en la España Moderna | La guerra y sus imágenes: dinámica y tratamiento mediático de los conflictos bélicos | Procesos de apropiación e hibridación de la imagen en los reinos hispánicos,7,declaradas,,Generar nuevo conocimiento sobre prácticas y representaciones culturales construidas en el ámbito del conglomerado dinástico pluricontinental de la Monarquía de España durante un amplio período cronológico que abarca los siglos XVI-XVIII,"Consultoria de carácter histórico, artístico y cultural","Informáticos y bibliotecarios de la UAH Localización, sistematización y análisis de todo tipo de fuentes histórico artísticas","Mercados sociales y culturales: Museos, Administraciones públicas y Fundaciones | Sin información de Propiedad Industrial e Intelectual",https://www.uah.es/es/investigacion/unidades-de-investigacion/grupos-de-investigacion/Cultura-politica-y-cultura-visual-en-la-Monarquia-de-Espana-practicas-y-representaciones-entre-los-siglos-XVI-y-XVIII-The-Political-and-Visual-Cultures-in-the-Hispanic-Monarchy-practices-and-representations-between-the-XVIth-and-XVIIIth-Centuries./,,grupo,"{""categoria"": ""Grupo de Alto Rendimiento""}",UAH_groups.csv
UAH,Universidad de Alcalá,Madrid,extraido,Canceres-de-origen-epitelial-Cancers-of-epithelial-origin.,Cánceres de origen epitelial - Cancers of epithelial origin.,,"Bajo Chueca, Ana María",https://www.uah.es/es/estudios/profesor/Ana-Maria-Bajo-Chueca/,,Estudio de biomarcadores en el diagnóstico y pronóstico de los cánceres de origen epitelial | Estudio de estrategias terapéuticas en los cánceres de origen epitelial,2,declaradas,,"Es un objetivo prioritario en salud encontrar biomarcadores ideales desde el punto de vista diagnóstico y pronóstico, que guíen la selección de las distintas opciones terapéuticas a lo largo del curso de la enfermedad en los cánceres de origen epitelial",1.Investigación: relacionados con las técnicas expuestas anteriormente. 2.Formación: - Trabajos Fin de Grado. - Trabajos fin de Máster. - Tesis Doctorales. - Prácticas Profesionales. 2. Divulgación: - Programa 4º ESO + Empresa - Semana de la Ciencia,Equipamiento: - Laboratorio Bioquímica. - Laboratorio Biología Molecular. - Sala cultivos celulares. Técnicas Utilizadas: - Técnicas bioquímicas. - Técnicas de Biología Molecular. - Cultivos celulares. - Modelos animales,1.Investigación: Área de la Salud. 2.Formación en investigación: Capacitación de estudiantes (Grado y Postgrado) de ciencias para su incorporación al mercado laboral. 3.Divulgación: Sociedad | Sin información de Propiedad Industrial e Intelectual,https://www.uah.es/es/investigacion/unidades-de-investigacion/grupos-de-investigacion/Canceres-de-origen-epitelial-Cancers-of-epithelial-origin./,,grupo,"{""categoria"": ""Grupo de Alto Rendimiento""}",UAH_groups.csv
UAH,Universidad de Alcalá,Madrid,extraido,Comics-y-Narrativas-Graficas-Comics-and-Graphic-Narratives,Cómics y Narrativas Gráficas Comics and Graphic Narratives,,"Sáez de Adana Herrero, Francisco Manuel; Rey Cabero, Enrique del","Filología, Comunicación y Documentación",,,0,nombre,,"Investigar el cómic y las narrativas gráficas como formas de expresión artística, comunicación y construcción cultural, analizando sus lenguajes, formatos, procesos de creación, recepción e impacto social","Organización de actividades formativas y de investigación, edición de publicaciones científicas, apoyo a proyectos de investigación y divulgación sobre cómic y narrativas gráficas",Acceso a bases de datos bibliográficas de la Universidad y biblioteca CRAI,"Comunidad académica (profesores/as, investigadores/as y estudiantes, especialmente de posgrado y doctorado), sector editorial y cultural, creadores/as de cómic y narrativas gráficas, y público interesado en la cultura visual | Sin información de Propiedad Industrial e Intelectual",https://www.uah.es/es/investigacion/unidades-de-investigacion/grupos-de-investigacion/Comics-y-Narrativas-Graficas-Comics-and-Graphic-Narratives/,,grupo,"{""categoria"": ""Grupo de Alto Rendimiento""}",UAH_groups.csv
UAH,Universidad de Alcalá,Madrid,extraido,Dano-celular-asociado-a-senescencia-Cell-damage-associated-with-senescence.,Daño celular asociado a senescencia - Cell damage associated with senescence.,,"Ramírez Chamond, Manuel Rafael; Alique Aguilar, Matilde",Biología de Sistemas,,Caracterizar los mecanismos implicados en daño celular en ancianos y sujetos con patologías asociadas al desarrollo de senescencia precoz | Microvesículas endoteliales como biomarcador y potencial diana terapéutica de la enfermedad cardiovascular en la enfermedad renal crónica | Papel de las microvesículas producidas en la enfermedad renal crónica en el desarrollo de la enfermedad cardiovascular | Papel de microRNAs vehiculados por microvesículas de células senescentes en la enfermedad vascular asociada a la enfermedad renal crónica,4,declaradas,,Caracterizar los mecanismos implicados en daño celular en ancianos y sujetos con patologías renales y cardiovasculares asociadas al desarrollo de senescencia precoz,"Cultivo celular, aislamiento y caracterización de vesículas extracelulares, funcionalidad celular (herida y angiogénesis), western blot, PCR cuantitativa","Unidad de cultivos celulares dotada con: cámaras de flujo laminar, incubador de CO2, microscopio invertido y de contraste de fases, centrífugas refrigeradas. Equipos para la realización de electroforesis de proteínas, transferencia y equipo de detección y análisis de imagen quimioluminiscente para Western blot. Equipos de análisis de imagen. Nanodrop. Termociclador para la realización de PCR. Termobloque. Congelador -80ºC y -20ºC. Frigoríficos 4ºC","El espíritu traslacional de nuestro trabajo se alinea con los objetivos principales y prioridades definidas en la Acción Estratégica de Salud, así como con las prioridades en salud marcadas en el H2020. De esta forma, nuestro objetivo es utilizar tecnologías moleculares y celulares de aplicación a las intervenciones sobre la salud humana, que proponemos concretar en investigación biológica integrativa y de sistemas; mejoras en los procesos de predicción, diagnóstico y seguimiento de enfermedades y monitorización de la respuesta terapéutica; prevención, o el desarrollo de nuevos fármacos y terapias innovadoras | Sin información de Propiedad Industrial e Intelectual",https://www.uah.es/es/investigacion/unidades-de-investigacion/grupos-de-investigacion/Dano-celular-asociado-a-senescencia-Cell-damage-associated-with-senescence./,,grupo,"{""categoria"": ""Grupo de Alto Rendimiento""}",UAH_groups.csv
UAH,Universidad de Alcalá,Madrid,extraido,De-Africas-y-Diasporas-Imaginarios-literarios-y-Culturales-Africa-and-Diasporas-,De Áfricas y Diásporas: Imaginarios literarios y Culturales-Africa and Diasporas: Literary and Cultural Imaginaries,,"Miampika Moundele, Landry Wilfrid",Filología Moderna,,"Afrodescendencia cultural y literaria | Afrodescendencia, arte, música y cine | Afrodescendencia, escrituras femeninas y representaciones de género | Afrodescendencia, historia y antropología | Diálogos culturales del África y de las diásporas | Imaginarios literarios del África y de las diásporas | Lengua española, hispanismo y literaturas hispanoafricanas | Literatura de Guinea Ecuatorial y literatura hispanomarroquí | Literaturas y culturas afrodiasporicas del Caribe y América Latina | Migraciones y afriodiásporas en España y en Europa | Migraciones, interculturalidad e imaginarios fronterizos | Teoría decolonial, crítica poscolonial y literaturas postcoloniales | Traducción literaria, postcolonialismo y pragmática intercultural | Transcontinentalidad literaria de la afrodescendencia",14,declaradas,,"Explorar las afrodescendencias y sus experiencias históricas, sus imaginarios culturales y literarios desde un enfoque innovador, interdisciplinar, transnacional y comparativo",Estudio e Investigación Fondo bibliográfico “Guinea-Áfricas” de la UAH,Despacho del Coordinador,Investigadores y público en general | Sin información de Propiedad Industrial e Intelectual,https://www.uah.es/es/investigacion/unidades-de-investigacion/grupos-de-investigacion/De-Africas-y-Diasporas-Imaginarios-literarios-y-Culturales-Africa-and-Diasporas-Literary-and-Cultural-Imaginaries/,,grupo,"{""categoria"": ""Grupo Emergente""}",UAH_groups.csv
UAH,Universidad de Alcalá,Madrid,extraido,Dendrimeros-catalisis-y-nanoquimica-Dendrimers-catalysis-and-nanochemistry.,"Dendrímeros, catálisis y nanoquímica - Dendrimers, catalysis and nanochemistry.",,"De Jesús Alcañiz, Ernesto; Flores Serrano, Juan Carlos",Química Orgánica y Química Inorgánica,,"Estudio de catalizadores útiles para el almacenamiento químico de hidrógeno | Estudios de reactividad y de mecanismos de reacción orientados a entender el papel del agua en procesos en los que participan complejos organometálicos | Preparación, propiedades y reactividad de complejos de paladio de capa abierta | Recuperación de catalizadores soportados en nanomateriales (dendrímeros, nanopartículas, nanotubos de carbono, etc.) | Síntesis y caracterización de nanopartículas metálicas solubles en fase acuosa estabilizadas por ligandos NHC | Síntesis y reactividad en fase acuosa de complejos organometálicos hidrosolubles (especialmente con ligandos carbeno N-heterocíclico) | Desarrollo de procesos catalíticos de formación de enlaces C-C y C-E en medios acuosos y recuperación bifásica de los catalizadores",7,declaradas,,"El objeto de nuestra investigación es aplicar la química organometálica en el desarrollo de catalizadores de diversa tipología (moleculares, soportados, nanocatalizadores, etc.), que mejoren la sostenibilidad de los procesos (catalizadores recuperables, procesos en fase acuosa, etc.)",Servicios técnicos de síntesis y caracterización de compuestos inorgánicos. Asesoramiento en las áreas de experiencia del grupo de investigación,Técnicas de preparación de compuestos en atmósfera inerte Reactores de media y alta presión para reacciones a escala de laboratorio Cromatógrafos de gases para el seguimiento de reacciones Caja seca para trabajos en atmósfera inerte. Espectrometría de Resonancia Magnética Nuclear Espectrofotometría infrarroja Espectrofotometría visible-ultravioleta,"Industria química y farmacéutica | VALENCIA CALVO, Marta | DE JESÚS ALCAÑIZ, Ernesto | EMBID CRUCES, Irene | TORO MOLINA, Alba de | ABÁN ALFARO, Miriam | CUENCA JUBERÍAS, Julio Marco | GARCÍA YEBRA, María Cristina | ""Complejo de iridio o rodio que comprende ligandos k2-(NN)-piridil-1,2,3-triazol y su uso como catalizador de la reacción de deshidrogenación de ácido fórmico y producción de hidrógeno"" | Patente | Fecha de solicitud: 04/03/2024 | Nº de solicitud: P202430154 | Oficina Española de Patentes y Marcas",https://www.uah.es/es/investigacion/unidades-de-investigacion/grupos-de-investigacion/Dendrimeros-catalisis-y-nanoquimica-Dendrimers-catalysis-and-nanochemistry./,,grupo,"{""categoria"": ""Grupo de Alto Rendimiento""}",UAH_groups.csv
UAH,Universidad de Alcalá,Madrid,extraido,Derecho-Internacional-Publico-Derecho-de-la-Union-Europea-y-Derecho-Internaciona,"Derecho Internacional Público, Derecho de la Unión Europea y Derecho Internacional Económico - Public International Law, European Union Law and International Economic Law",,"Pascual Vives, Francisco José; Aragonés Molina, Laura Esperanza",https://dip.uah.es/dip/,,"Empresas, derechos humanos y responsabilidad social corporativa | Arbitraje internacional y de inversiones | Derecho del mar y Derecho fluvial | Derecho internacional económico | Fuerzas armadas seguridad y defensa: aspectos jurídicos y geoestratégicos | Litigación y procedimiento ante los tribunales internacionales | Protección internacional e interna de los derechos humanos | Responsabilidad del Estado y de las organizaciones internacionales | Unión Europea y otros procesos de integración regional",9,declaradas,,"El grupo de investigación desarrolla actividades académicas centradas en el análisis de problemas actuales del Derecho Internacional Público, las Relaciones Internacionales y el Derecho de la Unión Europea, prestando una atención especial a los procesos de integración en Europa y América Latina, el Derecho internacional económico y a la protección de los derechos humanos. Asimismo, el grupo ofrece servicios jurídicos de consultoría en diversas materias de carácter jurídicointernacional (entre las que destacan el arbitraje de inversión y la protección internacional de los derechos humanos)","Consultoría y asesoramiento jurídico en litigios internacionales (tribunales internacionales, arbitraje de inversión y derechos humanos). -Desarrollo de proyectos de investigación de ámbito europeo y nacional. -Implementación y gestión de estudios de posgrado especializados. -Organización de actividades de formación y divulgación a través del Centro de Documentación Europea de la Universidad de Alcalá",Recursos del Centro de Documentación europea de la Universidad de Alcalá,Sin información de Propiedad Industrial e Intelectual,https://www.uah.es/es/investigacion/unidades-de-investigacion/grupos-de-investigacion/Derecho-Internacional-Publico-Derecho-de-la-Union-Europea-y-Derecho-Internacional-Economico-Public-International-Law-European-Union-Law-and-International-Economic-Law/,,grupo,"{""categoria"": ""Grupo de Alto Rendimiento""}",UAH_groups.csv
UAH,Universidad de Alcalá,Madrid,extraido,Derecho-de-los-Negocios-y-de-los-Mercados-Financieros-Business-Law-Financial-Mar,Derecho de los Negocios y de los Mercados Financieros - Business Law & Financial Markets Law,,"Pérez Troya, Adoración",https://portal.uah.es/portal/page/portal/epd2_profesores/prof38859,,Corporate Finance y operaciones societarias | Contratación bancaria y contratos de financiación alternativos | Fiscalidad empresarial internacional | Fusiones y Adquisiciones de empresas | Gobierno corporativo y sociedades cotizadas | Nuevas tecnologías aplicadas los negocios | Propiedad intelectual e industrial | Reestructuraciones e Insolvencia corporativa | Responsabilidad civil y Derecho del Seguro | Salidas a Bolsa y exclusiones. Ofertas Públicas. Contratación financiera,10,declaradas,,"Contribuir a la investigación en el campo del Derecho de los negocios y los mercados financieros, abordando un análisis en profundidad, desde una perspectiva crítica e independiente, con el fin de contribuir al avance científico, una mejor regulación y una aplicación práctica fundamentada","Elaboración de estudios, libros y artículos científicos - Dirección de tesis doctorales y otros estudios de investigación - Organización de Congresos, Jornadas y Seminarios - Desarrollo de proyectos de investigación - Elaboración de Estudios, Informes y Consultoría","Bases de datos, Textos y recursos legales, Derecho comparado, documentos legales",Comunidad científica y legal - Empresas - Organismos y entidades públicas y privadas | Sin información de Propiedad Industrial e Intelectual,https://www.uah.es/es/investigacion/unidades-de-investigacion/grupos-de-investigacion/Derecho-de-los-Negocios-y-de-los-Mercados-Financieros-Business-Law-Financial-Markets-Law/,,grupo,"{""categoria"": ""Grupo de Alto Rendimiento""}",UAH_groups.csv
UAH,Universidad de Alcalá,Madrid,extraido,Derecho-digitalizacion-e-innovacion-tecnologica-transformaciones-juridicas-y-cam,"Derecho, digitalización e innovación tecnológica: transformaciones jurídicas y cambio social - Law, digitalization and technological innovation: legal transformatios and social change.",,"López Ahumada, José Eduardo",Ciencias Jurídicas,,"Cambios en el ámbito de las relaciones jurídico-privadas | Derechos digitales: perspectiva general y laboral (derechos digitales laborales) | Digitalización y protección de datos | Jurisprudencia interpretativa de las transformaciones ligadas a la digitalización y a la innovación tecnológica | La adaptación de las relaciones laborales al ámbito de la protección social | La reforma estructural del mercado de trabajo | Libertad de empresa y facultades empresariales de control | Nuevos sistemas de contratación en el ámbito del Derecho Privado | Privacidad, derechos fundamentales y relaciones jurídico-privadas | Trabajo decente y estándares internacionales laborales | Trabajo digital y nuevas formas de organización de las actividades productivas | Transformaciones jurídicas en el ámbito del Derecho de la Empresa | Uso de dispositivos digitales en entornos empresariales",13,declaradas,,"La Investigación, gestión y administración de proyectos de I+I+D con implicaciones en el campo de las relaciones jurídicas en el ámbito del desarrollo de la economía digital y el fomento de la innovación tecnológica. El desarrollo de servicios de asesoramiento y análisis doctrinales científico-técnicos en las líneas de investigación del equipo. Asistencia formativa a aquellas personas interesadas en el aprendizaje científico-técnico, en temas actuales relativas a la transformación jurídica de nuestro Derecho, prestando especial apoyo en trabajos de investigación y tesis doctorales en el ámbito del tratamiento del Derecho del fenómeno de la digitalización y la innovación tecnológica","Desarrollar y aplicar nuevos conocimientos ante los cambios experimentados de forma interdisciplinar en el ámbito de la digitalización y su impacto el Derecho, congregando a aquellas personas que quieran desarrollar una actividad profesional en dicho ámbito. Servicios de asesoramiento y análisis doctrinal científico-técnico en las líneas de investigación anteriormente apuntadas. Dichos servicios están orientados a empresas privadas, entidades e instituciones. Asistir a aquellas personas con una formación generalista que quieran tener conocimientos jurídicos especializados en relación a las líneas de investigación del grupo, siempre desde una perspectiva interdisciplinar y global de los problemas actuales del Derecho","Catálogo bibliográfico de la Universidad de Alcalá, que será reforzado parcialmente, en su caso, con la ayuda a la investigación recibida. Una colección específica de libros (200 libros científico-técnicos), adquiridos como consecuencia de los proyectos conseguidos. Equipos informáticos fijos plenamente equipados. Dos escáneres de alta definición para procesar textos en papel. Dos discos duros alta capacidad de almacenamiento, que permiten compartir información dentro del grupo. Dos ordenadores portátiles adquiridos en el año 2014. Dos bases datos de jurisprudencia y negociación colectiva. La primera de ellas suministrada por West-Law Aranzadi y la segunda editada por Lex Nova. Web del equipo de investigación (en construcción)","El ámbito de acción del grupo de investigación se orienta al estudio de cuestiones actuales del derecho ligadas al proceso de digitalización e innovación tecnológica y sus transformaciones sociales, en el ámbito de conocimiento de los miembros integrantes del grupo. Desde esta perspectiva, los trabajos del equipo de investigación están orientados a la Investigación, gestión y administración de proyectos de I+I+D con implicaciones en el campo de las relaciones jurídicas en el ámbito del desarrollo empresarial, aunando cuestiones multidisciplinares. Un importante objetivo del grupo de investigación se dirigirá a la captación de contratos de asesoramiento a empresas en virtud de la aplicación del art. 60 LOSU. De este modo, el equipo pretende realizar una labor especializada científico técnica en la gestión de calidad de nuevos servicios de asistencia a las empresas. El ejercicio de consultoría legal se presenta como una de las líneas de actuación estratégicas del grupo de investigación. De igual modo, las líneas de investigación estarán igualmente en conexión con otros grupos de investigación de Universidades externas, potenciando la colaboración estratégica con otros centros de investigación, nacionales e internacionales. En concreto, se destaca la vinculación con la línea de investigación estable de relaciones laborales y protección social, perteneciente al Instituto Universitario de Investigación en Estudios Latinoamericanos (IELAT) de la Universidad de Alcalá. El grupo está dirigido a asistir a estudiantes, graduados, postgraduados en sus trabajos de investigación y tesis doctorales | Sin información de Propiedad Industrial e Intelectual",https://www.uah.es/es/investigacion/unidades-de-investigacion/grupos-de-investigacion/Derecho-digitalizacion-e-innovacion-tecnologica-transformaciones-juridicas-y-cambio-social-Law-digitalization-and-technological-innovation-legal-transformatios-and-social-change./,,grupo,"{""categoria"": ""Grupo de Alto Rendimiento""}",UAH_groups.csv
UAH,Universidad de Alcalá,Madrid,extraido,Desarrollo-y-aplicacion-de-cuidados-de-la-salud-Development-and-application-of-h,Desarrollo y aplicación de cuidados de la salud - Development and application of health care.,,"Martín Duce, Antonio",https://www.uah.es/es/estudios/profesor/Antonio-Martin-Duce/,,Bases teóricas y aplicadas de los cuidados de Enfermería en función de las etapas de ciclo vital y el entorno de la persona. Cuestiones de vida y muerte: reanimación y donación de órganos | Cuestiones de vida y muerte: reanimación y donación de órganos | Repercusiones inflamatorias y oncogénicas del síndrome metabólico | Cuidados en enfermedades olvidadas,4,declaradas,,Investigación en temas sanitarios relacionados con conocimiento y el cuidado de diversas patologías médicas,Educación comunitaria en reanimación cardiopulmonar. Análisis de afectación hepática,Laboratorio de biología molecular Aberto Sols (CSIC) Laboratorio metabolómica (CICBiogune),Comunidad Pacientes afectos de hepatopatía y cáncer | Sin información de Propiedad Industrial e Intelectual,https://www.uah.es/es/investigacion/unidades-de-investigacion/grupos-de-investigacion/Desarrollo-y-aplicacion-de-cuidados-de-la-salud-Development-and-application-of-health-care./,,grupo,"{""categoria"": ""Grupo Consolidado""}",UAH_groups.csv
UAH,Universidad de Alcalá,Madrid,extraido,Desarrollo-y-aplicacion-de-marcadores-moleculares-en-plantas-Development-and-app,Desarrollo y aplicación de marcadores moleculares en plantas - Development and application of molecular markers in plants.,,"Loarce Tejada, Yolanda; González Triguero, Juan Manuel",Biomedicina y Biotecnología,,Desarrollo de marcadores moleculares para identificar genes de resistencia a patógenos en avena | Estudio de la evolución genómica en el género Avena mediante metodologías cromosómicas | Utilización de marcadores moleculares en el estudio de la diversidad genética de plantas | Fenotipado y control genético de la arquitectura del sistema radicular de plantas,4,declaradas,,"El objetivo del grupo es el desarrollo de marcadores moleculares de ADN para identificar aquellos que resulten útiles en estudios de evaluación de la diversidad genética,evolución de genomas y mejora de plantas. Los estudios de diversidad genética tratan de cuantificar la variabilidad intraespecífica presente entre variedades de una especie cultivada o entre poblaciones naturales de especies silvestres. Así mismo, la diversidad encontrada entre especies del mismo género se utiliza como herramienta filogenética. El objetivo común en estos estudios es proporcionar información que contribuya tanto a una mejor utilización de los recursos fitogenéticos en la mejora de plantas como a definir las estrategias más adecuadas para la conservación de dichos recursos","Aplicación de métodos experimentales de marcadores de ADN (RFLPs, AFLPs, RAPDs, SSRs) en plantas. Aplicación de herramientas informáticas para el análisis del polimorfismo en poblaciones naturales o variedades comerciales de plantas. Fenotipado de la arquitectura radicular (RSA). Estudios de expresión génica en plantas","Instrumental propio de un laboratorio de Genética molecular de plantas y Citogenética: Cámaras climáticas,Invernaderos, estufas, baños, centrífugas, incubadores con agitación, autoclaves, campanas de flujo laminar, espectrofotómetros, cubetas y fuentes de electroforesis, transiluminadores, equipos de captación de imágenes, termocicladores, microscopios ópticos convencionales. microscopio de fluorescencia. Disponibilidad del Servicio de secuenciación, PCRq y análisis de fragmentos",Empresas de semillas del sector Agroalimentario | Sin información de Propiedad Industrial e Intelectual,https://www.uah.es/es/investigacion/unidades-de-investigacion/grupos-de-investigacion/Desarrollo-y-aplicacion-de-marcadores-moleculares-en-plantas-Development-and-application-of-molecular-markers-in-plants./,,grupo,"{""categoria"": ""Grupo de Alto Rendimiento""}",UAH_groups.csv
UAH,Universidad de Alcalá,Madrid,extraido,Diabetes-Obesidad-y-Reproduccion-Humana-Diabetes-obesity-and-human-reproduction.,"Diabetes, Obesidad y Reproducción Humana - Diabetes, obesity and human reproduction.",,"Escobar Morreale, Héctor Francisco",Medicina y Especialidades Médicas,,"Papel de los macronutrientes de la dieta en la respuesta postprandial hormonal, metabólica, inflamatoria y de estrés oxidativo en varones y mujeres | Disfunción gonadal asociada a la obesidad en mujeres y en varones | Papel del sexo en las enfermedades crónicas de etiología compleja multifactorial (SECOMPLEX) | Papel del sexo en las enfermedades metabólicas de etiología compleja multifactorial (SEXMETAB) | Síndrome de ovario poliquístico y enfermedades endocrino-metabólicas asociadas",5,declaradas,,Estudiar la interrelación entre los trastornos de la función gonadal en mujeres y varones y las enfermedades endocrino-metabólicas más prevalentes,Asesoría en investigación clínica Asesoría en le diseño de estudios de investigación Asesoría en meta-análisis y guías clínicas,Investigación clínica Investigación de transferencia Transcriptómica Genómica Proteómica Metabolómica,Comunidad científica | Sin información de Propiedad Industrial e Intelectual,https://www.uah.es/es/investigacion/unidades-de-investigacion/grupos-de-investigacion/Diabetes-Obesidad-y-Reproduccion-Humana-Diabetes-obesity-and-human-reproduction./,,grupo,"{""categoria"": ""Grupo de Alto Rendimiento""}",UAH_groups.csv
